=== E-scores (World A vs F) ===
              model      GEST       LEC  ADP_norm         E
6           SVC_RBF  0.696970  0.000000  0.386727  0.425830
7        GaussianNB  0.393939  0.000000  0.380114  0.272993
8       Logistic_L1  0.296970  0.000000  0.300603  0.208605
1      RandomForest -0.030303  0.000660  0.576077  0.100262
4          LightGBM  0.054545 -0.012859  0.152639  0.053943
9       Logistic_L2 -0.018182  0.000000  0.262379  0.043385
0        ExtraTrees -0.515152  0.001561  0.709150 -0.115277
5               MLP -0.248485  0.000000  0.000000 -0.124242
2  GradientBoosting -0.478788 -0.000550  0.559711 -0.127617
3           XGBoost -0.503030 -0.017876  0.564603 -0.143957
