model,world,global_spearman,local_cosine
RandomForest,WB_real,0.9926843811167702,0.7451598209788771
RandomForest,WC_real,0.9984417775110259,0.9360462866349034
RandomForest,WD_real,0.9962894849203441,0.8120358638938496
RandomForest,WE_real,0.9991600822069541,0.9931665299633806
RandomForest,WF_real,0.9456099782422892,0.09241324920144578
RandomForest,WG_real,1.0,0.9999986271096953
ExtraTrees,WB_real,0.9977920348795503,0.9121538571656335
ExtraTrees,WC_real,0.9987368060087443,0.9314286864538838
ExtraTrees,WD_real,0.9966180692727186,0.9107681794009526
ExtraTrees,WE_real,0.9992686771629571,0.9945094249588442
ExtraTrees,WF_real,0.9124407112377025,0.15823430813433467
ExtraTrees,WG_real,0.9999999999999999,0.9999986640627013
GradientBoosting,WB_real,0.9930539443155452,0.7977583570458335
GradientBoosting,WC_real,0.9992314385150811,0.8135658006963677
GradientBoosting,WD_real,0.9963602088167053,0.8080903444094107
GradientBoosting,WE_real,0.9995649651972158,0.9920006436564367
GradientBoosting,WF_real,0.953465777262181,0.13441544779411344
GradientBoosting,WG_real,1.0,0.9999999702878938
