Merged & RSCE-computed table:
              model         R         S         C         E      RSCE
0        ExtraTrees  0.905669  0.978394  0.985518 -0.115277  0.873772
1      RandomForest  0.734254  0.984783  0.984570  0.100262  0.819579
2           XGBoost  0.780758  0.971915  0.968798 -0.143957  0.717148
3  GradientBoosting  0.713833  0.970903  0.970257 -0.127617  0.670357
4           SVC_RBF  0.596046  0.966433  0.961788  0.425830  0.646248
5               MLP  0.653919  0.934763  0.909628 -0.124242  0.337979
6        GaussianNB  0.520832  0.936732  0.915350  0.272993  0.333720
7          LightGBM  0.615135  0.923471  0.887176  0.053943  0.244417
8       Logistic_L1  0.397205  0.928933  0.885368  0.208605  0.140419
9       Logistic_L2  0.341368  0.923961  0.878840  0.043385  0.035276
