=== R & S scores ===
              model         R         S   RS_mean
2        ExtraTrees  0.905669  0.978394  0.942032
6           XGBoost  0.780758  0.971915  0.876337
8      RandomForest  0.734254  0.984783  0.859519
3  GradientBoosting  0.713833  0.970903  0.842368
5               MLP  0.653919  0.934763  0.794341
7           SVC_RBF  0.596046  0.966433  0.781240
9          LightGBM  0.615135  0.923471  0.769303
4        GaussianNB  0.520832  0.936732  0.728782
0       Logistic_L1  0.397205  0.928933  0.663069
1       Logistic_L2  0.341368  0.923961  0.632665
