=== R, S, C scores ===
              model         R         S         C   RS_mean  RSC_mean
2        ExtraTrees  0.905669  0.978394  0.985518  0.942032  0.956527
6           XGBoost  0.780758  0.971915  0.968798  0.876337  0.907157
8      RandomForest  0.734254  0.984783  0.984570  0.859519  0.901203
3  GradientBoosting  0.713833  0.970903  0.970257  0.842368  0.884998
7           SVC_RBF  0.596046  0.966433  0.961788  0.781240  0.841422
5               MLP  0.653919  0.934763  0.909628  0.794341  0.832770
9          LightGBM  0.615135  0.923471  0.887176  0.769303  0.808594
4        GaussianNB  0.520832  0.936732  0.915350  0.728782  0.790971
0       Logistic_L1  0.397205  0.928933  0.885368  0.663069  0.737169
1       Logistic_L2  0.341368  0.923961  0.878840  0.632665  0.714723
