model,world,global_spearman,local_cosine
RandomForest,WB_real,0.9987556338960758,0.9014972489176523
RandomForest,WC_real,0.9896935227424466,0.472022694587262
RandomForest,WD_real,0.9951309950699961,0.7503512872237504
RandomForest,WE_real,0.9984782184316745,0.9680923519270574
RandomForest,WF_real,0.9335733750831707,0.2967283544241425
RandomForest,WG_real,1.0,0.9999998453993901
ExtraTrees,WB_real,0.9946939306694915,0.9602986873952148
ExtraTrees,WC_real,0.9820771754541779,0.7413257772457054
ExtraTrees,WD_real,0.9850863834479862,0.914051505262044
ExtraTrees,WE_real,0.9989086483907128,0.9959422607431823
ExtraTrees,WF_real,0.8501469214980283,0.4859569917333618
ExtraTrees,WG_real,0.9999999999999998,0.9999998472475549
GradientBoosting,WB_real,0.9984241868987632,0.8451102556848732
GradientBoosting,WC_real,0.9937333944113605,0.6239334944298678
GradientBoosting,WD_real,0.988822721026111,0.7199377723378635
GradientBoosting,WE_real,0.9993403573064591,0.9543694367930822
GradientBoosting,WF_real,0.9447366010077876,0.17049894134515603
GradientBoosting,WG_real,1.0,0.9999999891219993
