model,GEST,LEC,ADP_norm,E
SVC_RBF,0.6969696969696969,0.0,0.38672723553871835,0.4258302955925921
GaussianNB,0.3939393939393939,0.0,0.3801140299978363,0.27299250296926425
Logistic_L1,0.29696969696969694,0.0,0.30060313156650187,0.20860547479814884
RandomForest,-0.0303030303030303,0.0006596721225825005,0.5760774671139814,0.1002618799080559
LightGBM,0.05454545454545454,-0.012859485107866737,0.15263918612183547,0.05394271896473435
Logistic_L2,-0.01818181818181818,0.0,0.262378651529922,0.04338482121507531
ExtraTrees,-0.5151515151515151,0.0015614869294156147,0.7091496710759735,-0.11527737728173817
MLP,-0.24848484848484845,0.0,0.0,-0.12424242424242422
GradientBoosting,-0.4787878787878787,-0.0005495136312121129,0.559710702681348,-0.1276166529470334
XGBoost,-0.5030303030303029,-0.017876222651644246,0.564602747211413,-0.1439574688683621
