model,best_cv_roc_auc,best_params,roc_auc,pr_auc,brier,accuracy,log_loss
Logistic_L1,0.8067407407407406,"{'C': 0.1, 'class_weight': 'balanced'}",0.7809185185185185,0.5008204269145865,0.19093051790496096,0.7066666666666667,0.5671505573108174
Logistic_L2,0.8032407407407407,"{'C': 10.0, 'class_weight': 'balanced'}",0.7783111111111112,0.5015303744998295,0.18998048392883415,0.7033333333333334,0.5660008672785445
ExtraTrees,0.7993333333333333,"{'class_weight': None, 'max_depth': 5, 'min_samples_split': 5}",0.767762962962963,0.49052710828574386,0.16741575315859858,0.7466666666666667,0.5079832793337474
GradientBoosting,0.7726944444444445,"{'learning_rate': 0.05, 'max_depth': 2, 'n_estimators': 100}",0.7677037037037038,0.4694867179469632,0.16130349431668894,0.76,0.4799866771711347
AdaBoost,0.7895833333333334,"{'learning_rate': 0.05, 'n_estimators': 200}",0.7660148148148147,0.4362055664649398,0.1644879306280913,0.75,0.4982362088316622
GaussianNB,,{},0.7640888888888888,0.5061845268824154,0.15874856505380247,0.7666666666666667,0.4815361929445232
MLP,0.770425925925926,"{'alpha': 0.001, 'hidden_layer_sizes': (32,)}",0.7638518518518519,0.4910900243445178,0.161027242296472,0.7633333333333333,0.49131143091787083
XGBoost,0.7679259259259259,"{'colsample_bytree': 1.0, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.8}",0.757511111111111,0.47592404317759707,0.16468101668532237,0.75,0.4925737593632009
SVC_RBF,0.780962962962963,"{'C': 0.5, 'class_weight': 'balanced', 'gamma': 'auto'}",0.7513185185185185,0.482563717108566,0.1612640866177073,0.6566666666666666,0.48586444972913095
RandomForest,0.7817592592592593,"{'class_weight': None, 'max_depth': 5, 'min_samples_split': 5}",0.7405037037037037,0.4465677603002277,0.16427728833677924,0.75,0.49471206535249584
DecisionTree,0.7762222222222223,"{'max_depth': 3, 'min_samples_split': 2}",0.7356444444444445,0.40805077923790195,0.16864726414735462,0.7466666666666667,0.7164376355195347
LightGBM,0.7578518518518518,"{'learning_rate': 0.05, 'n_estimators': 200, 'num_leaves': 63, 'subsample': 0.8}",0.7349333333333333,0.4688623058533154,0.18397216619451756,0.7566666666666667,0.6257945840206591
Bagging_DT,0.7726574074074074,"{'max_samples': 0.5, 'n_estimators': 200}",0.7334814814814815,0.47031939156826524,0.16674591666666666,0.7666666666666667,0.49263349156263814
KNN,0.7191574074074072,"{'n_neighbors': 11, 'weights': 'distance'}",0.6932148148148147,0.44178215150091005,0.17151407495994642,0.77,0.7396634803571173
