model,best_cv_roc_auc,best_params,roc_auc,pr_auc,brier,accuracy,log_loss
Logistic_L1,0.8100398757686424,"{'C': 0.1, 'class_weight': None}",0.8067555555555557,0.5775211635836774,0.14591407088511868,0.77,0.44277576191918705
Logistic_L2,0.8060187370158809,"{'C': 0.1, 'class_weight': 'balanced'}",0.8016592592592592,0.5771476653499046,0.18336819692315534,0.7133333333333334,0.5406045522981909
RandomForest,0.918742725425116,"{'max_depth': None, 'min_samples_split': 2}",0.9361185185185185,0.8728123207259482,0.0817595,0.88,0.2694625596830818
ExtraTrees,0.9332433549056127,"{'max_depth': None, 'min_samples_split': 2}",0.9553777777777778,0.9020073917297111,0.06777241666666667,0.9066666666666666,0.20443618368289296
GradientBoosting,0.8869295727509512,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200}",0.8914962962962963,0.7717133059505966,0.10226082925392706,0.86,0.34252403017009264
XGBoost,0.9077259713595044,"{'colsample_bytree': 0.8, 'max_depth': 5, 'subsample': 0.8}",0.9158518518518518,0.8490049709818824,0.08014836197388897,0.8966666666666666,0.30926670386710137
LightGBM,0.916861788279524,"{'learning_rate': 0.1, 'n_estimators': 200, 'num_leaves': 63}",0.9171555555555556,0.864680513559402,0.09737984365090657,0.8733333333333333,0.509256445751003
GaussianNB,0.8048923085460213,{},0.8036740740740741,0.5950268250295438,0.14612049210668807,0.8,0.4407782457053412
MLP,0.8544418120714591,"{'alpha': 0.0001, 'hidden_layer_sizes': (64,)}",0.8737777777777778,0.683772557388647,0.11904546617063895,0.8333333333333334,0.38190667966942504
SVC_RBF,0.849898006818505,"{'C': 5.0, 'class_weight': 'balanced', 'gamma': 'scale'}",0.8647111111111111,0.6773541491107042,0.11934990641674846,0.8033333333333333,0.3800418603092901
