model,best_cv_roc_auc,best_params,roc_auc,pr_auc,brier,accuracy,log_loss,noise_rel_std,scenario
Logistic_L1,0.8067407407407406,"{'C': 0.1, 'class_weight': 'balanced'}",0.7809185185185185,0.5008204269145865,0.19093051790496096,0.7066666666666667,0.5671505573108174,0.0,noise_only
Logistic_L2,0.8032407407407407,"{'C': 10.0, 'class_weight': 'balanced'}",0.7783111111111112,0.5015303744998295,0.18998048392883415,0.7033333333333334,0.5660008672785445,0.0,noise_only
RandomForest,0.7817592592592593,"{'max_depth': 5, 'min_samples_split': 5}",0.7405037037037037,0.4465677603002277,0.16427728833677924,0.75,0.49471206535249573,0.0,noise_only
ExtraTrees,0.7993333333333333,"{'max_depth': 5, 'min_samples_split': 5}",0.767762962962963,0.49052710828574386,0.16741575315859858,0.7466666666666667,0.5079832793337474,0.0,noise_only
GradientBoosting,0.7726944444444445,"{'learning_rate': 0.05, 'max_depth': 2, 'n_estimators': 100}",0.7677037037037038,0.4694867179469632,0.16130349431668894,0.76,0.4799866771711347,0.0,noise_only
XGBoost,0.7521111111111111,"{'colsample_bytree': 1.0, 'max_depth': 5, 'subsample': 1.0}",0.7195851851851852,0.43954460244461385,0.18733588080032448,0.7433333333333333,0.6233534616613474,0.0,noise_only
LightGBM,0.7578518518518518,"{'learning_rate': 0.05, 'n_estimators': 200, 'num_leaves': 63}",0.7349333333333333,0.4688623058533154,0.18397216619451756,0.7566666666666667,0.6257945840206591,0.0,noise_only
GaussianNB,0.7978888888888889,{},0.7640888888888888,0.5061845268824154,0.15874856505380247,0.7666666666666667,0.4815361929445232,0.0,noise_only
MLP,0.770425925925926,"{'alpha': 0.001, 'hidden_layer_sizes': (32,)}",0.7638518518518519,0.4910900243445178,0.161027242296472,0.7633333333333333,0.49131143091787083,0.0,noise_only
SVC_RBF,0.780962962962963,"{'C': 0.5, 'class_weight': 'balanced', 'gamma': 'auto'}",0.7513185185185185,0.482563717108566,0.1612640866177073,0.6566666666666666,0.48586444972913095,0.0,noise_only
Logistic_L1,0.8049074074074074,"{'C': 0.1, 'class_weight': 'balanced'}",0.7937185185185185,0.5403346418033371,0.1855776518011574,0.71,0.5540070727667225,0.05,noise_only
Logistic_L2,0.8007962962962963,"{'C': 0.1, 'class_weight': 'balanced'}",0.7888592592592593,0.5298200848310226,0.18466602858995979,0.72,0.5517879631555959,0.05,noise_only
RandomForest,0.7903148148148149,"{'max_depth': 5, 'min_samples_split': 2}",0.7763555555555556,0.514803897159293,0.15563526472355035,0.7666666666666667,0.4728459502394766,0.05,noise_only
ExtraTrees,0.8004074074074075,"{'max_depth': 5, 'min_samples_split': 2}",0.7890962962962963,0.5425681836458128,0.16412236487717868,0.7466666666666667,0.4996083008950528,0.05,noise_only
GradientBoosting,0.7944907407407407,"{'learning_rate': 0.05, 'max_depth': 2, 'n_estimators': 100}",0.779437037037037,0.5001504642354111,0.15456419687512235,0.7666666666666667,0.46353214070924326,0.05,noise_only
XGBoost,0.7717037037037037,"{'colsample_bytree': 1.0, 'max_depth': 3, 'subsample': 1.0}",0.7590518518518519,0.45969424567981254,0.1679080997025669,0.7466666666666667,0.502063837969772,0.05,noise_only
LightGBM,0.7663703703703704,"{'learning_rate': 0.05, 'n_estimators': 200, 'num_leaves': 31}",0.759762962962963,0.4453125359120047,0.17967071454797728,0.75,0.5682018610415739,0.05,noise_only
GaussianNB,0.7959074074074074,{},0.782162962962963,0.5420524558179722,0.15202122644493654,0.7833333333333333,0.4658657291547129,0.05,noise_only
MLP,0.7769074074074074,"{'alpha': 0.0001, 'hidden_layer_sizes': (32,)}",0.7700740740740741,0.5055164579836466,0.15867511480217014,0.7766666666666666,0.48563691373261747,0.05,noise_only
SVC_RBF,0.7819074074074074,"{'C': 0.5, 'class_weight': 'balanced', 'gamma': 'auto'}",0.7818666666666667,0.5446840870521339,0.15090510680754501,0.69,0.4628388928725152,0.05,noise_only
Logistic_L1,0.7962962962962964,"{'C': 0.1, 'class_weight': None}",0.7549037037037037,0.4581422236895746,0.1637849644537552,0.76,0.4917842319156456,0.1,noise_only
Logistic_L2,0.7957037037037037,"{'C': 0.1, 'class_weight': 'balanced'}",0.7459555555555556,0.4531530314826434,0.2002510396740658,0.66,0.5892487364716499,0.1,noise_only
RandomForest,0.7822592592592592,"{'max_depth': 5, 'min_samples_split': 5}",0.7417481481481482,0.4413735667354045,0.16559630707763767,0.75,0.49753610931817577,0.1,noise_only
ExtraTrees,0.7923888888888889,"{'max_depth': 5, 'min_samples_split': 5}",0.7423407407407407,0.4481333942141976,0.17151879415161353,0.7466666666666667,0.5184157580398739,0.1,noise_only
GradientBoosting,0.7806018518518518,"{'learning_rate': 0.05, 'max_depth': 2, 'n_estimators': 100}",0.7524740740740741,0.44591070352118706,0.16378289784719177,0.76,0.4829847904929367,0.1,noise_only
XGBoost,0.7411296296296296,"{'colsample_bytree': 0.8, 'max_depth': 3, 'subsample': 1.0}",0.7247407407407408,0.43239564595355073,0.17526711162706168,0.7533333333333333,0.5205747615629602,0.1,noise_only
LightGBM,0.7481851851851852,"{'learning_rate': 0.05, 'n_estimators': 200, 'num_leaves': 63}",0.7122962962962963,0.3959470557444363,0.2053552833112768,0.7133333333333334,0.6546764628225726,0.1,noise_only
GaussianNB,0.7908148148148149,{},0.7377185185185186,0.4419553583589262,0.16976941984597066,0.7566666666666667,0.5094488585759336,0.1,noise_only
MLP,0.7672037037037037,"{'alpha': 0.001, 'hidden_layer_sizes': (32,)}",0.7356444444444444,0.4130181362056123,0.17660183680924812,0.7366666666666667,0.5281564660852256,0.1,noise_only
SVC_RBF,0.7719629629629631,"{'C': 0.5, 'class_weight': 'balanced', 'gamma': 'auto'}",0.7177777777777778,0.4098712947869082,0.1710143449190195,0.64,0.5080152798967696,0.1,noise_only
Logistic_L1,0.7674259259259258,"{'C': 0.1, 'class_weight': 'balanced'}",0.7109333333333333,0.4385396906087322,0.21352545012724902,0.6666666666666666,0.6224472926261521,0.2,noise_only
Logistic_L2,0.7674074074074074,"{'C': 0.1, 'class_weight': 'balanced'}",0.7043555555555556,0.42502744209116894,0.2121989770258933,0.6766666666666666,0.6203256796147195,0.2,noise_only
RandomForest,0.7609444444444444,"{'max_depth': 5, 'min_samples_split': 5}",0.6973037037037038,0.4100713400112309,0.17256805598729794,0.7466666666666667,0.521409690548891,0.2,noise_only
ExtraTrees,0.7588703703703704,"{'max_depth': 5, 'min_samples_split': 5}",0.7125925925925926,0.44356397196505615,0.17343941562709214,0.7466666666666667,0.5246261665046121,0.2,noise_only
GradientBoosting,0.7579074074074075,"{'learning_rate': 0.05, 'max_depth': 2, 'n_estimators': 100}",0.6982222222222221,0.40871083134499897,0.17483483951832568,0.7366666666666667,0.523505500070864,0.2,noise_only
XGBoost,0.7233518518518519,"{'colsample_bytree': 1.0, 'max_depth': 3, 'subsample': 0.8}",0.6537481481481482,0.40446405548518605,0.1981696700262747,0.72,0.6274787388788756,0.2,noise_only
LightGBM,0.7215,"{'learning_rate': 0.1, 'n_estimators': 200, 'num_leaves': 63}",0.650074074074074,0.35981362781552984,0.2546672100122458,0.6866666666666666,1.1488154191668596,0.2,noise_only
GaussianNB,0.7554444444444444,{},0.7066666666666667,0.43273493768186766,0.17312514154815978,0.76,0.5298992814594115,0.2,noise_only
MLP,0.7288148148148148,"{'alpha': 0.001, 'hidden_layer_sizes': (32,)}",0.6773333333333333,0.3976852370669384,0.1927053699307512,0.7066666666666667,0.5806170820055484,0.2,noise_only
SVC_RBF,0.7482592592592593,"{'C': 0.5, 'class_weight': 'balanced', 'gamma': 'auto'}",0.7030518518518519,0.4452245026110373,0.17275260475711826,0.6633333333333333,0.5172999836199922,0.2,noise_only
Logistic_L1,0.789787037037037,"{'C': 0.1, 'class_weight': None}",0.7494518518518518,0.4947963073934508,0.1636472878649992,0.7666666666666667,0.5099354294379533,0.0,noise_missing_outliers
Logistic_L2,0.781962962962963,"{'C': 10.0, 'class_weight': 'balanced'}",0.7402074074074074,0.4785202087158602,0.2011126032158485,0.6933333333333334,0.6067785906703315,0.0,noise_missing_outliers
RandomForest,0.7697037037037037,"{'max_depth': 5, 'min_samples_split': 5}",0.7483851851851853,0.46858081372428617,0.1641383724607205,0.7633333333333333,0.4963621342106704,0.0,noise_missing_outliers
ExtraTrees,0.7781481481481481,"{'max_depth': 5, 'min_samples_split': 2}",0.738725925925926,0.46205077970772973,0.17448781874922,0.75,0.5275078370905854,0.0,noise_missing_outliers
GradientBoosting,0.7715092592592593,"{'learning_rate': 0.05, 'max_depth': 2, 'n_estimators': 100}",0.7486222222222223,0.4438941818265495,0.16498454807828616,0.7466666666666667,0.4907033722519617,0.0,noise_missing_outliers
XGBoost,0.7471111111111111,"{'colsample_bytree': 1.0, 'max_depth': 3, 'subsample': 1.0}",0.7597037037037038,0.44448855511094953,0.1679550153382716,0.7566666666666667,0.5123779280937045,0.0,noise_missing_outliers
LightGBM,0.7473518518518519,"{'learning_rate': 0.05, 'n_estimators': 200, 'num_leaves': 31}",0.7562666666666666,0.4325422616302874,0.18088597367856882,0.76,0.5989606073654681,0.0,noise_missing_outliers
GaussianNB,0.7355185185185185,{},0.6545185185185186,0.3831704648600256,0.19012197570378656,0.73,0.584263937029629,0.0,noise_missing_outliers
