model,best_cv_roc_auc,best_params,roc_auc,pr_auc,brier,accuracy,log_loss,shift_severity
Logistic_L1,0.8067407407407406,"{'C': 0.1, 'class_weight': 'balanced'}",0.7809185185185185,0.5008204269145865,0.19092854968196388,0.7066666666666667,0.5671456563787257,0.0
Logistic_L2,0.8032407407407407,"{'C': 10.0, 'class_weight': 'balanced'}",0.7783111111111112,0.5015303744998295,0.18998048392883415,0.7033333333333334,0.5660008672785445,0.0
RandomForest,0.7817592592592593,"{'max_depth': 5, 'min_samples_split': 5}",0.7405037037037037,0.4465677603002277,0.16427728833677924,0.75,0.49471206535249573,0.0
ExtraTrees,0.7993333333333333,"{'max_depth': 5, 'min_samples_split': 5}",0.767762962962963,0.49052710828574386,0.16741575315859858,0.7466666666666667,0.5079832793337474,0.0
GradientBoosting,0.7726944444444445,"{'learning_rate': 0.05, 'max_depth': 2, 'n_estimators': 100}",0.7677037037037038,0.4694867179469632,0.16130349431668894,0.76,0.4799866771711347,0.0
XGBoost,0.7521111111111111,"{'colsample_bytree': 1.0, 'max_depth': 5, 'subsample': 1.0}",0.7195851851851852,0.43954460244461385,0.18733588080032448,0.7433333333333333,0.6233534616613474,0.0
LightGBM,0.7578518518518518,"{'learning_rate': 0.05, 'n_estimators': 200, 'num_leaves': 63}",0.7349333333333333,0.4688623058533154,0.18397216619451756,0.7566666666666667,0.6257945840206591,0.0
GaussianNB,0.7978888888888889,{},0.7640888888888888,0.5061845268824154,0.15874856505380247,0.7666666666666667,0.4815361929445232,0.0
MLP,0.770425925925926,"{'alpha': 0.001, 'hidden_layer_sizes': (32,)}",0.7638518518518519,0.4910900243445178,0.161027242296472,0.7633333333333333,0.49131143091787083,0.0
SVC_RBF,0.780962962962963,"{'C': 0.5, 'class_weight': 'balanced', 'gamma': 'auto'}",0.7513185185185185,0.482563717108566,0.1612640866177073,0.6566666666666666,0.48586444972913095,0.0
Logistic_L1,0.8067407407407406,"{'C': 0.1, 'class_weight': 'balanced'}",0.7816888888888889,0.5019260738764858,0.23770029857490713,0.6266666666666667,0.6942665114187079,1.0
Logistic_L2,0.8032407407407407,"{'C': 10.0, 'class_weight': 'balanced'}",0.7786666666666666,0.502257540071831,0.24234897823684198,0.6266666666666667,0.7131958911527317,1.0
RandomForest,0.7817592592592593,"{'max_depth': 5, 'min_samples_split': 5}",0.7601185185185185,0.49697503433780066,0.1603971097458222,0.76,0.4859886375320139,1.0
ExtraTrees,0.7993333333333333,"{'max_depth': 5, 'min_samples_split': 5}",0.7725037037037038,0.5008360411374058,0.16556702903762818,0.7566666666666667,0.506430611820565,1.0
GradientBoosting,0.7726944444444445,"{'learning_rate': 0.05, 'max_depth': 2, 'n_estimators': 100}",0.7848888888888889,0.5372479907189162,0.15551345193451846,0.7866666666666666,0.46679919373972706,1.0
XGBoost,0.7521111111111111,"{'colsample_bytree': 1.0, 'max_depth': 5, 'subsample': 1.0}",0.7490962962962964,0.5137740229204576,0.18726502236381154,0.72,0.5716579880008638,1.0
LightGBM,0.7578518518518518,"{'learning_rate': 0.05, 'n_estimators': 200, 'num_leaves': 63}",0.744,0.4706789289612506,0.19303343017751842,0.73,0.6005343582515856,1.0
GaussianNB,0.7978888888888889,{},0.7651555555555556,0.5040402292740825,0.16922945675212858,0.7433333333333333,0.5061209587174812,1.0
MLP,0.770425925925926,"{'alpha': 0.001, 'hidden_layer_sizes': (32,)}",0.7620740740740741,0.49457982016313673,0.17549701845007157,0.7433333333333333,0.5159101009325934,1.0
SVC_RBF,0.780962962962963,"{'C': 0.5, 'class_weight': 'balanced', 'gamma': 'auto'}",0.7448888888888888,0.44997680910908244,0.16982691797655794,0.5733333333333334,0.5035149354140576,1.0
Logistic_L1,0.8067222222222222,"{'C': 0.1, 'class_weight': 'balanced'}",0.7819851851851852,0.5021422646414627,0.29574848492396777,0.5466666666666666,0.8685273698412804,2.0
Logistic_L2,0.8032407407407407,"{'C': 10.0, 'class_weight': 'balanced'}",0.7793185185185185,0.5030728521136814,0.3089707289322534,0.5366666666666666,0.922816861399624,2.0
RandomForest,0.7817592592592593,"{'max_depth': 5, 'min_samples_split': 5}",0.7688296296296296,0.5334213988096801,0.17252771842544912,0.7433333333333333,0.5171463585566353,2.0
ExtraTrees,0.7993333333333333,"{'max_depth': 5, 'min_samples_split': 5}",0.7705481481481481,0.5082845758146477,0.16571966260856197,0.7733333333333333,0.5092726316205826,2.0
GradientBoosting,0.7726944444444445,"{'learning_rate': 0.05, 'max_depth': 2, 'n_estimators': 100}",0.7573333333333333,0.5066070485345059,0.17857604342011427,0.72,0.5243448938246702,2.0
XGBoost,0.7521111111111111,"{'colsample_bytree': 1.0, 'max_depth': 5, 'subsample': 1.0}",0.742874074074074,0.5117205308212451,0.21851326938618462,0.6866666666666666,0.6759831260289534,2.0
LightGBM,0.7578518518518518,"{'learning_rate': 0.05, 'n_estimators': 200, 'num_leaves': 63}",0.726637037037037,0.4619593712077611,0.2290972009235956,0.6566666666666666,0.6931764201034906,2.0
GaussianNB,0.7978888888888889,{},0.7660444444444444,0.5044681306920316,0.20266957281842815,0.67,0.5926687096517236,2.0
MLP,0.770425925925926,"{'alpha': 0.001, 'hidden_layer_sizes': (32,)}",0.7633777777777778,0.49599779073431616,0.2018872709341137,0.65,0.5744321468740768,2.0
SVC_RBF,0.780962962962963,"{'C': 0.5, 'class_weight': 'balanced', 'gamma': 'auto'}",0.7260444444444445,0.40192765377849343,0.17890192508897299,0.53,0.5263551231043482,2.0
