model,best_cv_roc_auc,best_params,roc_auc,pr_auc,brier,accuracy,log_loss,wbv_bias
Logistic_L1,0.8067962962962965,"{'C': 0.1, 'class_weight': None}",0.7819259259259259,0.5027676303369767,0.15469376034791332,0.7733333333333333,0.46866337810100733,0.0
Logistic_L2,0.8062037037037036,"{'C': 10.0, 'class_weight': 'balanced'}",0.775762962962963,0.4956243959989272,0.19071856932178516,0.7033333333333334,0.5675709666726109,0.0
RandomForest,0.784425925925926,"{'max_depth': 5, 'min_samples_split': 2}",0.7461925925925926,0.45529170679318287,0.16451603029485692,0.75,0.49505039702919307,0.0
ExtraTrees,0.7998703703703705,"{'max_depth': 5, 'min_samples_split': 5}",0.7752888888888889,0.49266443456469694,0.1664423286052328,0.7466666666666667,0.5045918858400427,0.0
GradientBoosting,0.7778981481481482,"{'learning_rate': 0.05, 'max_depth': 2, 'n_estimators': 100}",0.7684444444444445,0.4691833456091371,0.16140787308655424,0.7633333333333333,0.48098409517846025,0.0
XGBoost,0.7564074074074074,"{'colsample_bytree': 0.8, 'max_depth': 3, 'subsample': 0.8}",0.7472592592592593,0.447554261960283,0.1749482017605836,0.75,0.5347219374953945,0.0
LightGBM,0.7632592592592593,"{'learning_rate': 0.05, 'n_estimators': 200, 'num_leaves': 31}",0.7613037037037037,0.46279631839993624,0.1745100553579856,0.7533333333333333,0.5700695112712736,0.0
GaussianNB,0.8008518518518517,{},0.7637333333333334,0.5001617007823198,0.15937501365790402,0.77,0.48138812928692004,0.0
MLP,0.7708888888888888,"{'alpha': 0.0001, 'hidden_layer_sizes': (32,)}",0.766637037037037,0.4812362109798991,0.16091191487959558,0.7633333333333333,0.48474923440080525,0.0
SVC_RBF,0.7809259259259259,"{'C': 0.5, 'class_weight': 'balanced', 'gamma': 'auto'}",0.7528592592592592,0.4692256539125349,0.16089544133586978,0.6633333333333333,0.4834688210886268,0.0
Logistic_L1,0.8064259259259259,"{'C': 0.1, 'class_weight': 'balanced'}",0.7838814814814816,0.5053435169255964,0.19019458789755084,0.7,0.5658801276270928,0.1
Logistic_L2,0.8042037037037038,"{'C': 0.1, 'class_weight': 'balanced'}",0.7745185185185185,0.490415844412619,0.1909846995935546,0.7033333333333334,0.5678751045481985,0.1
RandomForest,0.7877222222222222,"{'max_depth': 5, 'min_samples_split': 2}",0.7508148148148148,0.468730176159027,0.16271212521317144,0.77,0.48978636900586553,0.1
ExtraTrees,0.8,"{'max_depth': 5, 'min_samples_split': 2}",0.7727407407407407,0.500172627193666,0.16661562600630156,0.7466666666666667,0.5054668681285851,0.1
GradientBoosting,0.7795277777777777,"{'learning_rate': 0.05, 'max_depth': 2, 'n_estimators': 100}",0.7646222222222222,0.46920912258163844,0.1614307526448152,0.7666666666666667,0.48000144284728097,0.1
XGBoost,0.7610185185185185,"{'colsample_bytree': 1.0, 'max_depth': 5, 'subsample': 1.0}",0.7295407407407408,0.4627685130879041,0.18799487675813012,0.7566666666666667,0.6205060886515305,0.1
LightGBM,0.762425925925926,"{'learning_rate': 0.05, 'n_estimators': 200, 'num_leaves': 63}",0.7359407407407407,0.4554949402194143,0.18695243724427327,0.7433333333333333,0.6458657345888819,0.1
GaussianNB,0.8009444444444445,{},0.7707259259259259,0.5071330724893406,0.15704182008681705,0.7733333333333333,0.47664498088031515,0.1
MLP,0.7741851851851852,"{'alpha': 0.001, 'hidden_layer_sizes': (32,)}",0.7462518518518519,0.4529686738320187,0.16887864762801505,0.7633333333333333,0.510283680079472,0.1
SVC_RBF,0.7826666666666667,"{'C': 0.5, 'class_weight': 'balanced', 'gamma': 'auto'}",0.7458962962962963,0.4550389156614343,0.16269049785361075,0.6466666666666666,0.4905588749230724,0.1
Logistic_L1,0.8067222222222222,"{'C': 0.1, 'class_weight': 'balanced'}",0.7809185185185185,0.5008204269145865,0.19092918595360103,0.7066666666666667,0.5671472907748908,0.2
Logistic_L2,0.8033148148148148,"{'C': 0.1, 'class_weight': 'balanced'}",0.7768296296296296,0.5010898398682159,0.18954961711369375,0.7033333333333334,0.5638768156417671,0.2
RandomForest,0.7792407407407407,"{'max_depth': 5, 'min_samples_split': 5}",0.7444148148148149,0.445209904234516,0.16383484714972318,0.7533333333333333,0.49314267448597066,0.2
ExtraTrees,0.797962962962963,"{'max_depth': 5, 'min_samples_split': 5}",0.7708444444444444,0.496008138852762,0.1663338891307254,0.7466666666666667,0.5049431550466843,0.2
GradientBoosting,0.774462962962963,"{'learning_rate': 0.05, 'max_depth': 2, 'n_estimators': 100}",0.7641777777777778,0.4673484093952295,0.16177695630962555,0.7633333333333333,0.4812854417228567,0.2
