world,model,roc_auc,rank
WorldA,Logistic_L1,0.7809185185185185,1
WorldA,Logistic_L2,0.7783111111111112,2
WorldA,ExtraTrees,0.767762962962963,3
WorldA,GradientBoosting,0.7677037037037038,4
WorldA,GaussianNB,0.7640888888888888,5
WorldA,MLP,0.7638518518518519,6
WorldA,XGBoost,0.757511111111111,7
WorldA,SVC_RBF,0.7513185185185185,8
WorldA,RandomForest,0.7405037037037037,9
WorldA,LightGBM,0.7349333333333333,10
WorldB,ExtraTrees,0.9553777777777778,1
WorldB,RandomForest,0.9361185185185183,2
WorldB,LightGBM,0.9171555555555556,3
WorldB,XGBoost,0.9158518518518518,4
WorldB,GradientBoosting,0.8914962962962963,5
WorldB,MLP,0.8737777777777778,6
WorldB,SVC_RBF,0.8647111111111111,7
WorldB,Logistic_L1,0.8067555555555557,8
WorldB,GaussianNB,0.8036740740740741,9
WorldB,Logistic_L2,0.8016592592592592,10
WorldC,Logistic_L1,0.7937185185185185,1
WorldC,ExtraTrees,0.7890962962962963,2
WorldC,Logistic_L2,0.7888592592592593,3
WorldC,GaussianNB,0.782162962962963,4
WorldC,SVC_RBF,0.7818666666666667,5
WorldC,Logistic_L1,0.7809185185185185,6
WorldC,GradientBoosting,0.779437037037037,7
WorldC,Logistic_L2,0.7783111111111112,8
WorldC,RandomForest,0.7763555555555556,9
WorldC,MLP,0.7700740740740741,10
WorldC,ExtraTrees,0.767762962962963,11
WorldC,GradientBoosting,0.7677037037037038,12
WorldC,GaussianNB,0.7640888888888888,13
WorldC,MLP,0.7638518518518519,14
WorldC,Logistic_L1,0.7616,15
WorldC,LightGBM,0.759762962962963,16
WorldC,XGBoost,0.7597037037037038,17
WorldC,XGBoost,0.7590518518518519,18
WorldC,Logistic_L2,0.7573925925925926,19
WorldC,LightGBM,0.7562666666666666,20
WorldC,Logistic_L1,0.7549037037037037,21
WorldC,GradientBoosting,0.7524740740740741,22
WorldC,SVC_RBF,0.7513185185185185,23
WorldC,GradientBoosting,0.7496592592592594,24
WorldC,Logistic_L1,0.7494518518518518,25
WorldC,GradientBoosting,0.7486222222222223,26
WorldC,RandomForest,0.7483851851851853,27
WorldC,Logistic_L2,0.7459555555555556,28
WorldC,ExtraTrees,0.7446518518518519,29
WorldC,ExtraTrees,0.7423407407407407,30
WorldC,RandomForest,0.7417481481481482,31
WorldC,RandomForest,0.7405037037037037,32
WorldC,Logistic_L2,0.7402074074074074,33
WorldC,ExtraTrees,0.738725925925926,34
WorldC,GaussianNB,0.7377185185185186,35
WorldC,RandomForest,0.7369481481481481,36
WorldC,MLP,0.7364740740740742,37
WorldC,SVC_RBF,0.735762962962963,38
WorldC,MLP,0.7356444444444444,39
WorldC,LightGBM,0.7349333333333333,40
WorldC,SVC_RBF,0.7310518518518518,41
WorldC,XGBoost,0.7247407407407408,42
